dailyconfirmed,dailydeceased,dailyrecovered,date,totalconfirmed,totaldeceased,totalrecovered
1,0,0,2020-01-30,1,0,0
0,0,0,2020-01-31,1,0,0
0,0,0,2020-02-01,1,0,0
1,0,0,2020-02-02,2,0,0
1,0,0,2020-02-03,3,0,0
0,0,0,2020-02-04,3,0,0
0,0,0,2020-02-05,3,0,0
0,0,0,2020-02-06,3,0,0
0,0,0,2020-02-07,3,0,0
0,0,0,2020-02-08,3,0,0
0,0,0,2020-02-09,3,0,0
0,0,0,2020-02-10,3,0,0
0,0,0,2020-02-11,3,0,0
0,0,0,2020-02-12,3,0,0
0,0,1,2020-02-13,3,0,1
0,0,0,2020-02-14,3,0,1
0,0,0,2020-02-15,3,0,1
0,0,1,2020-02-16,3,0,2
0,0,0,2020-02-17,3,0,2
0,0,0,2020-02-18,3,0,2
0,0,0,2020-02-19,3,0,2
0,0,1,2020-02-20,3,0,3
0,0,0,2020-02-21,3,0,3
0,0,0,2020-02-22,3,0,3
0,0,0,2020-02-23,3,0,3
0,0,0,2020-02-24,3,0,3
0,0,0,2020-02-25,3,0,3
0,0,0,2020-02-26,3,0,3
0,0,0,2020-02-27,3,0,3
0,0,0,2020-02-28,3,0,3
0,0,0,2020-02-29,3,0,3
0,0,0,2020-03-01,3,0,3
2,0,0,2020-03-02,5,0,3
1,0,0,2020-03-03,6,0,3
22,0,0,2020-03-04,28,0,3
2,0,0,2020-03-05,30,0,3
1,0,0,2020-03-06,31,0,3
3,0,0,2020-03-07,34,0,3
5,0,0,2020-03-08,39,0,3
9,0,0,2020-03-09,48,0,3
15,0,1,2020-03-10,63,0,4
7,0,0,2020-03-11,70,0,4
12,1,0,2020-03-12,82,1,4
9,0,6,2020-03-13,91,1,10
16,1,0,2020-03-14,107,2,10
5,0,3,2020-03-15,112,2,13
15,0,1,2020-03-16,127,2,14
19,1,1,2020-03-17,146,3,15
25,0,0,2020-03-18,171,3,15
27,1,5,2020-03-19,198,4,20
60,0,3,2020-03-20,258,4,23
76,0,0,2020-03-21,334,4,23
69,3,0,2020-03-22,403,7,23
94,2,2,2020-03-23,497,9,25
74,1,15,2020-03-24,571,10,40
86,1,3,2020-03-25,657,11,43
73,5,7,2020-03-26,730,16,50
153,3,25,2020-03-27,883,19,75
141,5,10,2020-03-28,1024,24,85
115,3,17,2020-03-29,1139,27,102
190,16,35,2020-03-30,1329,43,137
306,6,13,2020-03-31,1635,49,150
424,7,19,2020-04-01,2059,56,169
486,16,22,2020-04-02,2545,72,191
560,14,39,2020-04-03,3105,86,230
579,13,56,2020-04-04,3684,99,286
605,22,43,2020-04-05,4289,121,329
489,16,65,2020-04-06,4778,137,394
573,26,75,2020-04-07,5351,163,469
565,20,96,2020-04-08,5916,183,565
813,46,70,2020-04-09,6729,229,635
